slug,nameKo,region,elevationM,prominenceM,address,lat,lng
가마오름,가마오름,west,140.5,51,1202번지일대,33.305550,126.247014
가메오름,가메오름,west,372.2,17,산124번지일대,33.367329,126.335702
가메옥,가메옥,east,368,28,1712번지일대,33.453199,126.732661
가메창,가메창,west,145.8,6,1496번지일대,33.329762,126.248582
감은이오름,감은이오름,east,317.2,37,산 297번지,33.402136,126.688207
개새끼오름,개*새*끼*오름,north,115,20,산2838  2848번지일대,33.489100,126.503878
개오리오름,개오리오름,north,743,117,산78-1  용강동 산14-1,33.426639,126.612700
갯거리오름,갯거리오름,west,253.5,69,15번지일대,33.375755,126.292728
거문오름,거문오름,east,456.6,112,산102-1번지일대,33.457184,126.714669
거미오름,거미오름,east,340,115,산70번지,33.448944,126.803672
거슨세미,거슨세미,east,380,125,산145번지,33.450229,126.760131
거친오름,거친오름,north,618.5,154,산66번지일대,33.444500,126.619486
거친오름-2,거친오름,east,354.6,70,산84-2,33.444500,126.619486
걸시오름,걸시오름,north,732.4,82,산 150번지,33.413966,126.503645
검은덕이,검은덕이,west,401.5,52,산118번지,33.418680,126.386045
검은들먹오름,검은들먹오름,west,712.4,87,산1번지,33.362575,126.406297
검은오름,검은오름,north,438.8,129,산110번지일대,33.442939,126.498567
고내봉,고내봉,west,175.3,135,산3-1번지,33.459236,126.341419
고냉이슬,고냉이슬,north,304.5,69,165번지일대,,
골머리,골머리,north,848.4,95,산20번지,33.406300,126.496889
골체오름,골체오름,east,395.3,30,1912번지,33.450701,126.704584
과오름,과오름,west,155,85,산4 5 6번지일대,33.446197,126.323172
광이오름,광이오름,north,266.8,77,산62번지일대,33.468056,126.494881
괭이모루,괭이모루,east,253.2,33,산198번지,33.462136,126.780334
괴오름,괴오름,west,653.3,103,산41번지,33.358497,126.379488
구그네오름,구그네오름,east,237.4,47,957번지,33.490547,126.639253
굽은오름,굽은오름,west,96,26,3666번지일대,33.299130,126.212275
권제오름,권제오름,north,297.7,28,350번지,33.456919,126.558314
궤펜이,궤펜이,east,792.1,167,산137-1번지일대,33.394125,126.633867
